,Cluster,Nmembs
280,ESO_393_15,35
281,ESO_559_13,21
282,FSR_0088,56
283,FSR_0123,54
284,FSR_0133,99
285,FSR_0165,73
286,FSR_0166,68
287,FSR_0167,123
288,FSR_0198,263
289,FSR_0238,82
290,FSR_0275,84
291,FSR_0282,26
292,FSR_0284,17
293,FSR_0296,25
294,FSR_0306,164
295,FSR_0336,170
296,FSR_0342,283
297,FSR_0357,34
298,FSR_0384,118
299,FSR_0385,114
300,FSR_0398,200
301,FSR_0430,71
302,FSR_0448,67
303,FSR_0451,15
304,FSR_0465,14
305,FSR_0496,214
306,FSR_0524,12
307,FSR_0534,136
308,FSR_0536,31
309,FSR_0537,51
310,FSR_0542,107
311,FSR_0551,358
312,FSR_0553,79
313,FSR_0667,129
314,FSR_0683,13
315,FSR_0716,57
316,FSR_0728,54
317,FSR_0735,30
318,FSR_0811,58
319,FSR_0826,99
320,FSR_0833,12
321,FSR_0852,27
322,FSR_0866,151
323,FSR_0883,28
324,FSR_0905,73
325,FSR_0923,25
326,FSR_0932,26
327,FSR_0935,41
328,FSR_0941,19
329,FSR_0942,79
330,FSR_0953,64
331,FSR_0968,35
332,FSR_0974,33
333,FSR_0985,19
334,FSR_1051,52
335,FSR_1063,18
336,FSR_1083,35
337,FSR_1085,65
338,FSR_1117,149
339,FSR_1125,15
340,FSR_1150,16
341,FSR_1180,102
342,FSR_1183,39
343,FSR_1207,17
344,FSR_1211,51
345,FSR_1212,29
346,FSR_1252,68
347,FSR_1253,121
348,FSR_1260,65
349,FSR_1284,67
350,FSR_1297,77
351,FSR_1315,16
352,FSR_1342,78
353,FSR_1352,21
354,FSR_1360,86
355,FSR_1363,48
356,FSR_1378,242
357,FSR_1380,49
358,FSR_1399,34
359,FSR_1402,116
360,FSR_1407,91
361,FSR_1419,29
362,FSR_1435,71
363,FSR_1441,52
364,FSR_1452,85
365,FSR_1484,76
366,FSR_1509,17
367,FSR_1521,35
368,FSR_1580,65
369,FSR_1586,41
370,FSR_1591,23
371,FSR_1663,62
372,FSR_1723,97
373,FSR_1750,15
374,Feibelman_1,44
375,Ferrero_11,348
376,Graham_1,30
377,Gulliver_11,234
378,Gulliver_12,60
379,Gulliver_13,18
380,Gulliver_15,111
381,Gulliver_16,142
382,Gulliver_19,23
383,Gulliver_2,27
384,Gulliver_20,45
385,Gulliver_21,19
386,Gulliver_23,13
387,Gulliver_25,83
388,Gulliver_29,797
389,Gulliver_30,48
390,Gulliver_33,34
391,Gulliver_34,54
392,Gulliver_35,45
393,Gulliver_41,61
394,Gulliver_42,7
395,Gulliver_44,12
396,Gulliver_45,17
397,Gulliver_46,12
398,Gulliver_48,392
399,Gulliver_49,102
400,Gulliver_50,118
401,Gulliver_52,342
402,Gulliver_53,23
403,Gulliver_54,8
404,Gulliver_6,223
405,Gulliver_7,38
406,Gulliver_8,9
407,Gulliver_9,8
408,Haffner_10,121
409,Haffner_11,80
410,Haffner_13,1011
411,Haffner_14,140
412,Haffner_15,59
413,Haffner_16,99
414,Haffner_17,52
415,Haffner_18,67
416,Haffner_20,13
417,Haffner_21,69
418,Haffner_22,189
419,Haffner_23,207
420,Haffner_26,151
421,Haffner_3,56
422,Haffner_4,20
423,Haffner_5,255
424,Haffner_6,70
425,Haffner_7,64
426,Haffner_8,64
427,Haffner_9,69
428,Harvard_10,649
429,Harvard_13,137
430,Harvard_16,343
431,Hogg_10,112
432,Hogg_15,158
433,Hogg_17,106
434,Hogg_18,93
435,Hogg_19,46
436,Hogg_21,33
437,Hogg_4,177
438,IC_1311,90
439,IC_1369,115
440,IC_1396,1419
441,IC_1434,250
442,IC_1590,140
443,IC_166,125
444,IC_1805,211
445,IC_1848,399
446,IC_2157,52
447,IC_2391,1540
448,IC_2395,1143
449,IC_2488,507
450,IC_2581,197
451,IC_2602,1681
452,IC_2714,662
453,IC_2948,368
454,IC_348,525
455,IC_361,150
456,IC_4651,719
457,IC_4665,1126
458,IC_4725,923
459,IC_4756,1081
460,IC_4996,96
461,IC_5146,481
462,Ivanov_8,0
463,Juchert_13,118
464,Juchert_20,43
465,Juchert_Saloran_1,20
466,Kharchenko_1,117
467,King_1,289
468,King_10,103
469,King_11,96
470,King_12,102
471,King_13,173
472,King_14,198
473,King_15,85
474,King_16,107
475,King_17,18
476,King_18,84
477,King_19,97
478,King_2,37
479,King_20,148
480,King_21,126
481,King_23,123
482,King_25,51
483,King_26,44
484,King_4,96
485,King_5,205
486,King_6,521
487,King_7,85
488,King_9,62
489,Koposov_10,21
490,Koposov_12,151
491,Koposov_36,77
492,Koposov_63,32
493,Kronberger_52,33
494,Kronberger_69,39
495,Kronberger_81,32
496,Kronberger_84,21
497,LDN_988e,149
498,L_1641S,607
499,Loden_1194,364
500,Loden_372,174
501,Loden_46,268
502,Lynga_1,32
503,Lynga_2,416
504,Lynga_4,32
505,Lynga_5,114
506,Lynga_6,77
507,Lynga_9,157
508,Mamajek_1,221
509,Mamajek_4,795
510,Markarian_38,38
511,Markarian_50,57
512,Mayer_1,146
513,Melotte_101,450
514,Melotte_105,314
515,Melotte_20,2336
516,Melotte_22,2436
517,Melotte_66,203
518,Melotte_71,344
519,Melotte_72,171
520,Muzzio_1,209
521,NGC_1027,567
522,NGC_103,162
523,NGC_1039,1143
524,NGC_1193,23
525,NGC_1220,15
526,NGC_1245,337
527,NGC_129,424
528,NGC_1333,481
529,NGC_1342,621
530,NGC_1348,105
531,NGC_136,33
532,NGC_1444,86
533,NGC_146,235
534,NGC_1496,50
535,NGC_1502,335
536,NGC_1513,407
537,NGC_1528,593
538,NGC_1545,469
539,NGC_1579,334
540,NGC_1582,412
541,NGC_1605,63
542,NGC_1647,917
543,NGC_1662,855
544,NGC_1664,390
545,NGC_1708,382
546,NGC_1724,39
547,NGC_1778,272
548,NGC_1798,24
549,NGC_1817,464
550,NGC_1857,103
551,NGC_188,518
552,NGC_1883,14
553,NGC_189,196
554,NGC_1893,190
555,NGC_1901,486
556,NGC_1907,301
557,NGC_1912,615
558,NGC_1960,437
559,NGC_2099,720
560,NGC_2112,495
561,NGC_2129,63
562,NGC_2141,190
563,NGC_2158,75
564,NGC_2168,1011
565,NGC_2183,225
566,NGC_2184,496
567,NGC_2186,95
568,NGC_2192,44
569,NGC_2194,219
